NP#3:8	NP#3:8				Restaurants in manhattan should try to model food and service after this place.
BHD#7:0	BHD#7:0				amazing fresh dogs but best of all endless toppings!!!
BHD#7:1	BHD#7:1				this place had ALL the trimmings and i mean all.
BHD#7:2	BHD#7:2				peppers, onions, relish, chilli, cheeses, you NAME it.
BHD#7:3	BHD#7:3				amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!
CLF#5:0	CLF#5:0				BEST DINING EXPERIENCE IN THE WEST VILLAGE!
CLF#5:1	CLF#5:1				Stepping into Casa La Femme last night was a true experience unlike any other in New York!
CLF#5:2	CLF#5:2				Highly impressed from the decor to the food to the hospitality to the great night I had!
CLF#5:3	CLF#5:3				The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for!
CLF#5:4	CLF#5:4				Food took some time to prepare, all worth waiting for.
CLF#5:5	CLF#5:5				We were drawn into the belly dancing show that captivated the crowd.
CLF#5:6	CLF#5:6				I never write on these sites but this restaurant is def worth commending!
CLF#5:7	CLF#5:7				Great find in the West Village!
NP#4:0	NP#4:0				Maggot in the food!
NP#4:1	NP#4:1				I've been wanting to go to this place forever and finally got a table.
NP#4:2	NP#4:2				The menu looked great, and the waiter was very nice, but when the food came, it was average.
NP#4:3	NP#4:3				Nevertheless, I finished my plate, and that's when I found a maggot in mushroom sauce at the bottom.
NP#4:4	NP#4:4				I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).
NP#4:5	NP#4:5				When the bill came, nothing was comped, so I told the manager very politely that we were willing to pay for the wine, but I didn't think I should have to pay for food with a maggot in it.
NP#4:6	NP#4:6				Yes, I ate the food, but I certainly would not have if I had seen the maggot before eating, and I was at this point fairly sick to my stomach.
NP#4:7	NP#4:7				The manager finally said he would comp the two glasses of wine (which cost less than the food), and made it seem like a big concession.
NP#4:8	NP#4:8				We paid and left because we didn't feel like arguing any more.
NP#4:9	NP#4:9				I have worked in restaurants and cook a lot, and there is no way a maggot should be able to get into well prepared food.
NP#4:10	NP#4:10				For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.
FF#1:0	FF#1:0				A fairly late entry into the haute barnyard sweepstakes, Flatbush Farm isn't in the same league as the Blue Hills or even the Farm on Adderlys of the world, but it's pretty good, albeit with a somewhat dismal setting.
P#6:0	P#6:0				Unhygienic
P#6:1	P#6:1				I do not recommend.
P#6:2	P#6:2				I went there 2times .
P#6:3	P#6:3				I got hair in my food 2 times of then !
BzG#2:0	BzG#2:0				Great place, great value.
BzG#2:1	BzG#2:1				The food is flavorful, plentiful and reasonably priced.
BzG#2:2	BzG#2:2				The atmosphere is relaxed and casual.
BzG#2:3	BzG#2:3				It's a great place to order from or sit-in.
TVU#4:0	TVU#4:0				Awesome
TVU#4:1	TVU#4:1				Inexpensive, unassuming, great time!
Z#2:0	Z#2:0				Sushi experience was unbelievable with my fiance.
Z#2:1	Z#2:1				Try it!
Z#2:2	Z#2:2				Very pleased
Y#9:0	Y#9:0				Good creative rolls!
Y#9:1	Y#9:1				Yamato is an excellent place to go if youre not into sashimi, or if you have friends who doesnt like sushi much.
Y#9:2	Y#9:2				They have great rolls, the triple color and norwegetan rolls, are awesome and filling.
Y#9:3	Y#9:3				One special roll and one regular roll is enough to fill you up, but save room for dessert!
Y#9:4	Y#9:4				They have a delicious banana chocolate dessert, as well as a great green tea tempura.
Y#9:5	Y#9:5				The appetizers are also delicious!
Z#5:0	Z#5:0				Amazing food.
Z#5:1	Z#5:1				Mazing interior.
Z#5:2	Z#5:2				Great food!
Z#5:3	Z#5:3				I've had my fair share of modern Japanese and this spot delivers.
Z#5:4	Z#5:4				The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.
Z#5:5	Z#5:5				If you're into being lost when you're just five feet from your table then hey, that's a good thing.
Z#5:6	Z#5:6				Despite the confusing mirrors this will likely be my go-to for modern Japanese food for the foreseeable future.
Z#5:7	Z#5:7				Another review here claimed the pre-fix was $29/per person including sake but it is $55 per person not including sake.
TM#4:0	TM#4:0				Indo Chinese food, pretty good...
TM#4:1	TM#4:1				Not a very fancy place but very good Chinese style Indian food.
TM#4:2	TM#4:2				The chicken lollipop is my favorite, most of the dishes (I have to agree with a previous reviewer) are quite oily and very spicy, espeically the Chilli Chicken.
TM#4:3	TM#4:3				My mom originally introduced me to this place, but even she (being Indian) feels the food can be somewhat over the top spicy and far too oily.
TM#4:4	TM#4:4				Still we keep going back :)
TFS#11:0	TFS#11:0				I was speechless by the horrible food.
TFS#11:1	TFS#11:1				I attended a holiday dinner at the restaurant, and the food was majorly disappointing.
TFS#11:2	TFS#11:2				Rather than eating the meat entree being offered, I requested a vegetarian dish.
TFS#11:3	TFS#11:3				Rather than preparing vegetarian dish, the chef presented me with a plate of steamed vegetables (minus sauce, seasoning, or any form or aesthetic presentation).
TFS#11:4	TFS#11:4				I was so stunned, and I left the dinner hungry and majorly disappointing.
TFS#11:5	TFS#11:5				This place survives on reputation alone.
TFS#11:6	TFS#11:6				I will NEVER return.
ADLT#10:0	ADLT#10:0				Best In ALL of NYC
ADLT#10:1	ADLT#10:1				This is the MOST wonderful restaurant in all of New York City, not just Brooklyn...
ADLT#10:2	ADLT#10:2				for 7 years they have put out the most tasty, most delicious food and kept it that way...
ADLT#10:3	ADLT#10:3				never swaying, never a bad meal, never bad service...
ADLT#10:4	ADLT#10:4				I'm telling you...
ADLT#10:5	ADLT#10:5				you should travel from the Bronx to try it...
ADLT#10:6	ADLT#10:6				great food, great wine list, great service in a great neighborhood...
ADLT#10:7	ADLT#10:7				so delicious!!!!!!
PP#3:0	PP#3:0				Patsy's Pizza = true love
PP#3:1	PP#3:1				Hands down the best pizza on the planet.
PP#3:2	PP#3:2				My bf and I go to the walk-up counter and order a pie.
PP#3:3	PP#3:3				In about 12 minutes, the thing is gone.
PP#3:4	PP#3:4				Need I say more?
BHD#6:0	BHD#6:0				great hot dogs..
BHD#6:1	BHD#6:1				the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside.
BHD#6:2	BHD#6:2				great toppings definitely a place you need to check out for late night munchies or a mid day boost!
TM#5:0	TM#5:0				great taste
TM#5:1	TM#5:1				Great, original taste.
TM#5:2	TM#5:2				For me dishes a little oily, but overall dining experience good.
TM#5:3	TM#5:3				Helpful service and average price per dish $10.
TM#5:4	TM#5:4				The only thing that strikes you is the decor?(not very pleasant).
TM#6:0	TM#6:0				great food
TM#6:1	TM#6:1				This place has great indian chinese food.
TM#6:2	TM#6:2				The flavors are amazing and the value is phenomenal.
TM#6:3	TM#6:3				Be prepared to wait, because the place is pretty tiny.
TM#6:4	TM#6:4				Also, they do not take credit card so come with cash!
TM#6:5	TM#6:5				Even though the place is not beautiful, the food speaks for itself.
TM#6:6	TM#6:6				Best Indian Chinese in the city, by far!
TVU#6:0	TVU#6:0				AMAZING MY FAVORITE!!!
TVU#6:1	TVU#6:1				I have been living in NYC for bit now and I have to say I love to go out and explore the scene.
TVU#6:2	TVU#6:2				I came across Village Underground by accident, now I go there all the time.
TVU#6:3	TVU#6:3				The martinis are amazing and very fairly priced.
TVU#6:4	TVU#6:4				THE SERVICE IS AMAZING, i've had different waiters and they were all nice, which is a rare thing in NYC.
TVU#6:5	TVU#6:5				The DJ is awesome, I have been there for my birthday and a bunch of other times with friends and I keep going back.
TVU#6:6	TVU#6:6				You can get a table without a reservation if you get there early I they don't make you by bottles.
TVU#6:7	TVU#6:7				Which lets face it....at times it's a good thing.
TVU#6:8	TVU#6:8				In the end you end up with a fair tab and NOTHING BUT A GREAT TIME!!!
TVU#6:9	TVU#6:9				Highly recommended!
ADLT#3:0	ADLT#3:0				One of the best, if not THE best, restaurants in Park Slope (and NY in general)
ADLT#3:1	ADLT#3:1				Everything on the menu is great. 
ADLT#3:2	ADLT#3:2				This establishment is the real deal. 
ADLT#3:3	ADLT#3:3				Wish NY had more of these kind of places: intimate, superb food, homey, top notch all the way around, certainly worth the wait.
TFS#5:0	TFS#5:0				There is "Expensive-but-worth-it" and there is "Expensive-and-WTF"?
TFS#5:1	TFS#5:1				This is a twenty-something guy that doesn't mind laying down $300 for a fine and delicious meal for 2 on special occassions.
TFS#5:2	TFS#5:2				But $500 for a dinner for two that didn't include Wine?
TFS#5:3	TFS#5:3				Are you freaking kidding me?
TFS#5:4	TFS#5:4				Look, the appetizers were really good.
TFS#5:5	TFS#5:5				The entree was also very good.
TFS#5:6	TFS#5:6				Can't argue about that, but they are clearly over priced.
TFS#5:7	TFS#5:7				What you are paying for is the environment and the name.
TFS#5:8	TFS#5:8				Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.
TFS#5:9	TFS#5:9				$500 included:
TFS#5:10	TFS#5:10				Drinks: 2 glasses of Dom Perignon at $35 each.
TFS#5:11	TFS#5:11				Starters: Kobe Beef Sashimi.
TFS#5:12	TFS#5:12				Which of course is not real Kobe but Wagyu beef.
TFS#5:13	TFS#5:13				Surprised that a place of this caliber would advertise it as Kobe.
TFS#5:14	TFS#5:14				A beef Consomme.
TFS#5:15	TFS#5:15				Entrees: Vanison steak and Bison Steak.
TFS#5:16	TFS#5:16				Vanison was good but not amazing.
TFS#5:17	TFS#5:17				Bison was quite excellent however.
TFS#5:18	TFS#5:18				Dessert: pure disaster.
TFS#5:19	TFS#5:19				Just not good at all.
TFS#5:20	TFS#5:20				Some Pineapple covered in a glaze of some kind and some pear tart thing Not impressive at all.
TFS#5:21	TFS#5:21				I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.
TFS#5:22	TFS#5:22				I was wrong.
TFS#5:23	TFS#5:23				The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say "I've been to the four seasons restaurant".
TFS#5:24	TFS#5:24				I wanted to go there to see if it was worth it and sadly, curiousity got the best of me and I paid dearly for it.
TFS#5:25	TFS#5:25				All in all, the food was great (except for the dessserts).
TFS#5:26	TFS#5:26				The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.
TFS#5:27	TFS#5:27				If you are going for the food, it will not be worth it.
TFS#5:28	TFS#5:28				Yes, it is good, but I've had better for cheaper.
TFS#5:29	TFS#5:29				You would think they would make up for it with service, sadly, no.
TFS#5:30	TFS#5:30				Service was just ok, it is not what you'd expect for $500.
CLF#3:0	CLF#3:0				Terrible Waste of money.. scammers
CLF#3:1	CLF#3:1				I agree that dining at Casa La Femme is like no other dining experience!
CLF#3:2	CLF#3:2				BUT not in a good way.
CLF#3:3	CLF#3:3				I am actually offended to have spent so much money on such a bad experience.
CLF#3:4	CLF#3:4				I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.
